name,status,number,lat,long
South Italian,Vulnerable,7500000,40.9798,15.249
Sicilian,Vulnerable,5000000,37.4399,14.5019
Low Saxon,Vulnerable,4800000,53.4029,10.3601
Belarusian,Vulnerable,4000000,53.956,27.5756
Lombard,Definitely endangered,3500000,45.7215,9.3273
Romani,Definitely endangered,3500000,46.3165,22.3681
Yiddish (Israel),Definitely endangered,3000000,32.0833,34.8333
Gondi,Vulnerable,2713790,19.5804,80.4418
Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864
Quechua of Southern Bolivia,Vulnerable,2300000,-18.0675,-65.7641
Kumaoni,Vulnerable,2003783,29.4778,79.8486
Aymara,Vulnerable,2000000,-16.5835,-68.302
Emilian-Romagnol,Definitely endangered,2000000,44.127,12.0739
Piedmontese,Definitely endangered,2000000,45.2013,7.8662
Venetan,Vulnerable,2000000,45.4601,12.1948
Zazaki,Vulnerable,2000000,38.8824,40.4846
Kurux (India),Vulnerable,1751489,22.1467,85.2758
Tamajeq,Vulnerable,1750000,17.2352,8.0859
Tulu,Vulnerable,1722768,12.0178,75.7067
Kangdi,Definitely endangered,1700000,32.4356,76.1242
Scots,Vulnerable,1500000,56.2189,-3.7683
Torlak,Vulnerable,1500000,42.9644,22.1374
West Flemish,Vulnerable,1500000,51.0275,3.0541
Bashkir,Vulnerable,1379727,54.7309,55.9863
Chechen,Vulnerable,1331844,43.1971,45.7031
Chuvash,Vulnerable,1325382,56.1394,47.2412
Meithei,Vulnerable,1250000,24.7667,93.8946
Tamang,Vulnerable,1196639,27.7365,85.6858
Quechua of Cuzco,Vulnerable,1115000,-13.4537,-72.0098
Eastern Slovak,Vulnerable,1000000,48.8068,21.7968
Ligurian,Definitely endangered,1000000,44.5748,8.7011
Rusyn,Vulnerable,1000000,48.4437,22.9394
Talysh,Vulnerable,1000000,38.814,48.6804
Kui,Vulnerable,916222,19.5908,83.9575
Khasi,Vulnerable,912000,25.691,91.8676
Bodo,Vulnerable,900000,26.7554,92.8674
Campidanese,Definitely endangered,900000,39.2991,8.9868
K'iche' (Guatemala),Vulnerable,890596,15.0309,-91.1485
Quechua of Ayacucho,Definitely endangered,850000,-13.1276,-74.2071
Newar,Definitely endangered,825458,27.6981,85.3198
Mon,Vulnerable,800000,16.4666,97.7833
Polesian,Vulnerable,800000,51.8629,23.9501
Tamaceq,Definitely endangered,800000,16.7992,-3.0102
Avar,Vulnerable,784840,42.4801,46.8017
Mundari,Vulnerable,750000,22.3297,86.0449
Welsh,Vulnerable,750000,52.4459,-3.5485
Angika,Vulnerable,740892,24.7451,85.3124
Q'eqchi' (Guatemala),Vulnerable,716101,15.4707,-90.3722
Picard,Severely endangered,700000,50.2331,2.7905
Kokborok,Vulnerable,695000,23.7752,91.6918
Basque,Vulnerable,660000,43.133,-2.0764
Kabard-Cherkes,Vulnerable,650000,43.7393,43.4289
Mandeali,Definitely endangered,611930,31.4099,76.9921
Friulian,Definitely endangered,600000,46.1037,13.1396
Quechua of Ancash and Huánuco,Definitely endangered,600000,-9.4598,-77.1789
Walloon,Definitely endangered,600000,50.4575,4.8559
Mising,Definitely endangered,550000,26.9612,94.0539
Ossete,Vulnerable,550000,42.9564,44.4946
Mizo,Vulnerable,529000,22.9988,92.9223
Dargwa,Vulnerable,503523,42.1145,47.4938
Aromanian,Definitely endangered,500000,40.2292,21.1376
Brahui,Vulnerable,500000,29.0369,66.5826
Languedocian,Severely endangered,500000,43.8899,2.5378
Lezgian,Vulnerable,500000,41.4921,48.0541
Mahasui,Definitely endangered,496024,31.2738,77.1295
Magar,Definitely endangered,489383,28.0816,83.4301
Mam (Guatemala),Vulnerable,477717,14.9305,-91.9078
Udmurt,Definitely endangered,463837,57.2315,52.8662
Huasteca Náhuatl,Vulnerable,463183,21.3835,-98.9902
Kumyk,Vulnerable,458121,43.397,46.9775
Yakut,Vulnerable,456288,62.3496,130.8691
Kaqchikel (Guatemala),Vulnerable,444954,14.7814,-90.7925
Karbi,Vulnerable,420000,26.2934,93.2299
Eastern Mari,Definitely endangered,414211,56.632,47.8784
Ingush,Vulnerable,405343,43.145,45.1043
Erzya,Definitely endangered,400000,54.1302,45.4394
Ho,Vulnerable,400000,21.637,86.4404
Judezmo (Israel),Severely endangered,400000,32.0872,34.7737
Lalo,Vulnerable,400000,25.383,99.9426
Limousin,Severely endangered,400000,46.0579,1.8017
Logudorese,Definitely endangered,400000,40.1116,9.1845
Mapuche (Chile),Definitely endangered,400000,-38.5653,-73.081
Central Náhuatl,Vulnerable,395581,19.191,-99.0236
Moselle Franconian,Vulnerable,390000,49.6071,6.1248
Bantawa,Vulnerable,371056,27.0994,87.0048
Santa,Vulnerable,360000,35.5411,102.7935
Mingrelian,Definitely endangered,350000,42.4599,41.7205
West Frisian,Vulnerable,350000,53.1006,5.6579
Gurung,Definitely endangered,338925,28.275,84.1782
Guajiro,Vulnerable,318500,11.8673,-71.9824
Karachay-Balkar,Vulnerable,302748,44.2137,42.8466
Adyge,Vulnerable,300000,44.9181,39.7485
Buryat (Trans-Baikal),Definitely endangered,300000,50.8336,109.5117
Kurru,Definitely endangered,300000,16.6151,81.6284
Kuvi,Definitely endangered,300000,18.9478,83.5839
Limbu,Definitely endangered,300000,27.096,87.7356
Moroccan Judeo-Arabic (Israel),Definitely endangered,300000,32.0476,34.7552
Plautdietsch,Definitely endangered,300000,47.0738,35.5545
Pontic Greek,Definitely endangered,300000,40.847,40.0149
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Definitely endangered,300000,-1.8673,-78.9257
Waxiang,Vulnerable,300000,28.5652,110.3576
Oyrat,Definitely endangered,280000,46.195,88.7255
Garhwali,Vulnerable,279500,30.0976,79.1235
Bade,Vulnerable,250000,12.801,11.1181
Breton,Severely endangered,250000,48.2246,-3.9331
Gascon,Definitely endangered,250000,43.1811,-0.1428
Phula (China),Vulnerable,250000,22.6001,104.0004
Sora,Vulnerable,250000,19.1244,83.2104
Konyak,Vulnerable,248000,26.9367,95.1745
Ao,Vulnerable,243000,26.4361,94.6472
Tuvan,Vulnerable,242754,51.7134,94.3945
Nafusi,Severely endangered,240000,32.6393,13.4252
Suret,Definitely endangered,240000,36.4477,43.2971
Malto,Definitely endangered,224926,23.7853,85.4736
Khowar,Vulnerable,222800,35.8667,71.7956
Maiya,Vulnerable,220000,35.3151,72.908
Komi,Definitely endangered,217316,62.3087,51.5917
Alpine Provençal,Definitely endangered,200000,44.7467,6.6796
Gallo,Severely endangered,200000,47.931,-2.0544
Gera,Vulnerable,200000,10.5553,10.0579
Irula,Vulnerable,200000,11.4369,76.5032
Kharia,Vulnerable,200000,21.8003,85.4956
Khorasani Turk,Vulnerable,200000,36.6596,57.854
Korku,Vulnerable,200000,20.3034,80.2441
Moksha,Definitely endangered,200000,54.1817,43.2751
Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133
Western Cham,Vulnerable,200000,12.0333,105.4333
Tshangla,Vulnerable,193000,27.1275,91.9335
Thado,Vulnerable,191000,24.4521,93.2354
Gagauz (Bessarabia),Definitely endangered,180000,46.0922,28.7951
Kului,Definitely endangered,170770,31.4403,77.1487
Adi,Vulnerable,170000,28.3527,95.2294
Lhota,Vulnerable,170000,26.1603,94.3725
Nyishi,Vulnerable,170000,27.5277,93.0981
Ngäbere (Panama),Vulnerable,169130,9.3395,-82.2428
Kodagu,Definitely endangered,166187,11.6952,75.9375
Corsican,Definitely endangered,160000,42.0819,9.0307
Dzongkha,Vulnerable,160000,27.44,89.6731
Kalmyk,Definitely endangered,153602,46.2026,45.8239
Lak,Vulnerable,153373,42.0125,47.2521
Asturian-Leonese,Definitely endangered,150000,42.7954,-5.6689
Latgalian,Vulnerable,150000,56.1822,27.1362
Provençal,Severely endangered,150000,43.5485,6.1083
Rabha,Vulnerable,150000,25.9284,90.9777
Tamzabit,Vulnerable,150000,32.4816,3.6694
Sherpa,Vulnerable,143693,27.739,86.839
Tangkhul,Vulnerable,142000,25.0358,94.4824
Q'aanjob'al,Vulnerable,139830,15.6019,-91.4441
Badaga,Definitely endangered,134514,11.3642,76.5266
Angami,Vulnerable,132000,25.7553,94.1308
Laz,Definitely endangered,130000,41.2736,41.2646
Tabasaran,Vulnerable,128391,41.8081,47.9882
Chambeali,Definitely endangered,126589,32.9072,76.5307
Abkhaz,Vulnerable,125000,43.133,40.8471
Phom,Vulnerable,123000,26.7799,94.9493
Kolami,Definitely endangered,121855,20.5093,78.1787
Navajo,Vulnerable,120000,35.8044,-108.475
Sassarese,Definitely endangered,120000,40.6139,8.6132
Tamahaq (Algeria),Vulnerable,120000,22.8369,5.5371
Konda,Definitely endangered,118597,18.2763,82.9385
Sierra Totonac,Severely endangered,118367,20.2461,-97.6586
Jaunsari,Definitely endangered,114733,30.4859,78.0908
Dimasa,Vulnerable,112000,24.7368,92.9003
Ladakhi,Vulnerable,105000,34.0617,77.5909
Salar,Vulnerable,104503,36.2752,102.4584
Simi,Vulnerable,104000,25.9777,94.5922
Phurhepecha,Vulnerable,102988,19.3111,-102.041
Crimean Tatar (Crimea),Severely endangered,100000,45.3212,34.3212
Dagur (Nonni),Definitely endangered,100000,47.9163,124.1235
Francoprovençal,Definitely endangered,100000,45.7828,6.9982
Gallurese,Definitely endangered,100000,40.8802,9.4482
Mapuche (Argentina),Severely endangered,100000,-40.0791,-71.0156
Mehri,Definitely endangered,100000,16.5993,52.8057
Miskito (Nicaragua),Vulnerable,100000,12.4001,-83.7332
Ordos,Definitely endangered,100000,39.1641,108.1054
Quechua of Northern Bolivia,Vulnerable,100000,-15.3649,-69.0518
Suba,Vulnerable,100000,-0.9942,34.519
Garífuna (Honduras),Vulnerable,98000,15.6754,-88.1476
Embera (Colombia),Vulnerable,95000,6.1624,-76.8383
Kabui,Vulnerable,95000,24.7218,93.6584
Shughni,Vulnerable,95000,37.4879,71.5374
Permyak,Definitely endangered,94328,59.204,54.5361
Poqomchi',Vulnerable,92941,15.3757,-90.4288
Yimchungru,Vulnerable,92000,25.9629,94.9713
Nogay (Caucasus),Definitely endangered,90020,43.8028,46.2744
Heiban,Vulnerable,90000,10.8575,30.2371
Quichua (Cañar and Azuay),Severely endangered,90000,-2.6577,-78.8378
Mezquital Otomí,Definitely endangered,88789,20.4831,-99.217
Eastern Mazahua,Definitely endangered,88001,19.7129,-99.9515
Burushaski,Vulnerable,87000,35.909,74.2153
Central Otomí,Definitely endangered,84593,19.4661,-99.5944
Chokri,Vulnerable,84000,25.8691,94.7131
Sangtam,Vulnerable,84000,26.6032,94.9603
Ixil (Guatemala),Vulnerable,83574,15.4849,-91.0358
Achi',Vulnerable,82640,15.0845,-90.4888
Yem,Vulnerable,81613,7.6347,37.3205
Mao,Vulnerable,81000,25.5027,94.2681
Arbëresh,Definitely endangered,80000,40.9321,14.8645
Lari,Definitely endangered,80000,27.8585,54.8547
Páez,Definitely endangered,80000,2.8237,-76.3117
Quechua of Santiago del Estero,Definitely endangered,80000,-26.7848,-63.6767
Svan,Definitely endangered,80000,43.0207,42.3193
Tai Daeng,Vulnerable,80000,19.8833,104.6166
Taznatit,Severely endangered,80000,29.3413,0.3955
Razihi,Definitely endangered,75000,16.8834,43.2655
Wakhi,Definitely endangered,75000,37.1603,74.9047
Bishnupriya Manipuri Creole,Vulnerable,72899,24.297,92.4499
Acheron,Severely endangered,70000,10.809,30.2453
Maori,Vulnerable,70000,-38.4105,177.3632
Tai Neua,Vulnerable,70000,20.5166,104.3166
Bhadravahi,Definitely endangered,66918,33.5413,76.333
Kinnauri,Definitely endangered,65097,31.541,78.3764
Gallo-Sicilian,Definitely endangered,65000,38.0167,14.5994
Kurux (Bangladesh),Vulnerable,65000,25.8196,88.9672
Tz'utujil,Definitely endangered,63237,14.6394,-91.2301
